product,TwitterT1,TwitterT3,TwitterT1PO,TwitterT3PO,SubtitleT1,SubtitleT3,SubtitleT1PO,SubtitleT3PO,CMT1,CMT3,CMT1PO,CMT3PO
Kika,0.24590947,0.3481471,0.03325656,0.07852832,0.344315,0.4827915,0.09643573,0.16897133,0.2708832,0.38830832,0.09125629,0.14935851
CMK,0.209,0.365,0.085,0.107,0.276,0.45,0.147,0.192,0.224,0.413,0.112,0.179
Gboard,0.30057067,0.3659752,0.04135756,0.07389796,0.42785004,0.51362675,0.14917931,0.23365885,0.31948513,0.38808385,0.09045539,0.13569166
SwiftKey,0.27150974,0.40721878,0.033602405,0.07522745,0.31658858,0.5175559,0.092164375,0.22610731,0.18950772,0.33947214,0.05486052,0.11437967
Kika,0.2757799,,,,0.35828397,,,,0.315808,,,
Kika,0.22892231,0.32001585,0.02633425,,0.3148572,0.44491664,0.07953412,,0.25989184,0.37628296,0.07334761,
Kika,0.24585982,0.34850767,0.03298333,,0.3189915,0.4506723,0.081898,,0.2722047,0.3904175,0.0917906,
Kika,0.24597569,0.34843725,0.03298333,,0.34483254,0.48409542,0.09644792,,0.2721429,0.38977197,0.09170071,
Kika,0.24590947,0.3481471,0.03325656,0.07852832,0.344315,0.4827915,0.09643573,0.16897133,0.2708832,0.38830832,0.09125629,0.14935851
Gboard,0.29958776,0.36490768,0.04138841,0.07392037,0.42785004,0.51362675,0.14917931,0.23365885,0.31948513,0.38808385,0.09045539,0.13569166
Gboard,0.30057067,0.3659752,0.04135756,0.07389796,0.42695737,0.5175911,0.14925747,0.23319145,0.30282545,0.3782257,0.09076215,0.1367565
SwiftKey,0.27170488,0.40669534,0.03360774,0.07522668,0.31658858,0.5175559,0.092164375,0.22610731,0.19175376,0.33932906,0.05495491,0.11449524
SwiftKey,0.27150974,0.40721878,0.033602405,0.07522745,0.3087424,0.5159307,0.09209554,0.22587162,0.18950772,0.33947214,0.05486052,0.11437967
