TestCase,TopNum,PredictMode,Kika,CMK,Gboard,SwiftKey
Tw,T1,MM,0.24590947,0.209,0.30057067,0.27150974
Tw,T3,MM,0.3481471,0.365,0.3659752,0.40721878
Tw,T1,PO,0.03325656,0.085,0.04135756,0.033602405
Tw,T3,PO,0.07852832,0.107,0.07389796,0.07522745
Su,T1,MM,0.344315,0.276,0.42785004,0.31658858
Su,T3,MM,0.4827915,0.45,0.51362675,0.5175559
Su,T1,PO,0.09643573,0.147,0.14917931,0.092164375
Su,T3,PO,0.16897133,0.192,0.23365885,0.22610731
CM,T1,MM,0.2708832,0.224,0.31948513,0.18950772
CM,T3,MM,0.38830832,0.413,0.38808385,0.33947214
CM,T1,PO,0.09125629,0.112,0.09045539,0.05486052
CM,T3,PO,0.14935851,0.179,0.13569166,0.11437967
